Wall time,Step,Value,Loss
1673085325,0,543.6376953,8.041291237
1673085326,1,467.4874573,6.151538849
1673085327,2,440.076416,6.163097382
1673085327,3,481.3770447,6.222167492
1673085328,4,493.6591492,6.168243885
1673085328,5,480.0835571,6.14359045
1673085329,6,464.1362,6.064272404
1673085330,7,431.0438232,6.110737324
1673085330,8,446.7539063,6.050680637
1673085331,9,461.4491882,6.082468987
1673085332,10,442.8545532,6.143416405
1673085332,11,435.1534424,6.063916683
1673085333,12,460.487915,6.350065708
1673085334,13,394.0127869,5.914626598
1673085334,14,367.2122803,5.92612505
1673085335,15,324.9654846,5.774848461
1673085336,16,307.0441284,5.718710899
1673085336,17,275.0167236,5.658094883
1673085337,18,244.589035,5.635846615
1673085338,19,233.8266144,5.498578548
1673085338,20,205.1971588,5.481604576
1673085339,21,183.8293152,5.30452776
1673085340,22,169.9445648,5.233387947
1673085340,23,151.801712,5.068522453
1673085341,24,135.6711121,4.917954445
1673085342,25,123.7973022,5.033230305
1673085342,26,113.6048126,4.816824913
1673085343,27,104.6405563,4.774796486
1673085344,28,95.7158432,4.597141266
1673085344,29,86.44347382,4.502871037
1673085345,30,81.07991028,4.580952168
1673085346,31,75.72327423,4.351832867
1673085346,32,71.19200897,4.442904472
1673085347,33,65.65707397,4.206028461
1673085348,34,62.58158875,4.319738865
1673085348,35,59.96300507,4.164388657
1673085349,36,60.50196838,4.447648048
1673085350,37,52.68460846,4.037975788
1673085351,38,48.93462372,4.164326191
1673085351,39,46.67923355,3.773570538
1673085352,40,43.60838699,3.934976101
1673085353,41,41.80141449,3.838188887
1673085353,42,40.17506027,4.024398327
1673085354,43,37.69895935,3.795194149
1673085355,44,36.21681595,3.736852646
1673085355,45,34.78901672,3.817698002
1673085356,46,33.36946869,3.59294939
1673085357,47,31.73441887,3.555084705
1673085357,48,30.43226242,3.672109365
1673085358,49,28.89387321,3.799011946
1673085359,50,27.98435783,3.729732275
1673085359,51,26.75657654,3.553546667
1673085360,52,25.78211021,3.47444582
1673085361,53,25.07707596,3.450279951
1673085361,54,24.06943321,3.368674517
1673085362,55,22.86445236,3.309108734
1673085363,56,22.0176754,3.428321362
1673085363,57,21.44322395,3.499687672
1673085364,58,20.72874069,3.250208139
1673085365,59,19.41927528,3.041463852
1673085365,60,18.77708435,3.02583909
1673085366,61,18.16898537,3.203262329
1673085367,62,18.0484333,3.468130827
1673085367,63,16.91271591,3.239980698
1673085368,64,16.60778999,3.037112713
1673085369,65,15.83987808,3.031942844
1673085369,66,16.07416153,3.034981966
1673085370,67,15.44203186,2.897319078
1673085371,68,14.86231041,3.0479846
1673085371,69,14.48563194,3.156383991
1673085372,70,14.53410625,2.938825369
1673085373,71,13.87517738,2.841082335
1673085373,72,13.38403511,2.889703751
1673085374,73,13.17099857,2.743442535
1673085375,74,12.98522186,2.844945669
1673085375,75,12.25695038,3.047133207
1673085376,76,12.43061829,3.124794006
1673085377,77,12.21089554,2.85633707
1673085377,78,12.13189125,2.679389954
1673085378,79,11.01891804,2.878216982
1673085379,80,10.88401031,2.848950863
1673085379,81,10.71606827,2.543304443
1673085380,82,10.75541115,2.630548716
1673085381,83,10.23340034,2.544715643
1673085381,84,10.21818829,2.954272985
1673085382,85,10.01386642,2.50942564
1673085383,86,9.880475998,2.493697405
1673085383,87,9.870578766,2.341998577
1673085384,88,9.336038589,2.360961199
1673085385,89,9.158501625,2.765491009
1673085385,90,9.263360977,2.65061307
1673085386,91,8.875985146,2.625615358
1673085387,92,8.980734825,2.666557789
1673085387,93,9.011662483,2.467570782
1673085388,94,8.454426765,2.803524256
1673085389,95,8.040188789,2.306779146
1673085389,96,8.590040207,2.867303371
1673085390,97,8.16560173,2.376430035
1673085391,98,7.909293652,2.798622131
1673085391,99,7.875729561,2.548080444
1673085392,100,7.657323837,2.438022375
1673085393,101,7.191223145,2.248713732
1673085393,102,7.217488766,2.402800798
1673085394,103,7.34289217,2.197825432
1673085395,104,7.322859764,2.504719019
1673085395,105,7.416104317,2.352249146
1673085396,106,7.509867668,2.316940069
1673085397,107,6.802258492,2.086887121
1673085397,108,6.66663599,2.117814779
1673085398,109,6.739914417,2.122654915
1673085399,110,6.295073986,2.098187685
1673085399,111,6.481935978,2.166590691
1673085400,112,6.456148148,1.959408402
1673085401,113,6.286196232,2.780496836
1673085401,114,6.172250748,2.121128321
1673085402,115,6.101016521,2.514834166
1673085403,116,6.043177128,2.311647654
1673085403,117,6.097725391,2.175662041
1673085404,118,5.886682987,2.542750835
1673085405,119,6.009993553,1.998935342
1673085405,120,6.074903965,2.127136946
1673085406,121,5.819652557,1.875841975
1673085407,122,5.486436367,1.837103844
1673085407,123,5.261993885,1.86263001
1673085408,124,5.975153446,1.768034101
1673085409,125,5.396413326,2.562755585
1673085409,126,5.506245613,2.439605951
1673085410,127,5.324859142,2.413197279
1673085411,128,5.345902443,1.767521262
1673085411,129,5.038527489,2.307072401
1673085412,130,5.128240585,2.131078959
1673085413,131,4.795147419,1.895846248
1673085413,132,4.952012062,2.055385351
1673085414,133,4.93273735,2.349197626
1673085415,134,5.26195097,1.822672725
1673085415,135,5.015467644,2.276226282
1673085416,136,4.997234821,1.757310271
1673085417,137,4.939452648,2.29415679
1673085417,138,5.018136501,1.648705602
1673085418,139,4.858334541,1.907402277
1673085419,140,4.588621616,2.211685419
1673085419,141,4.878806591,2.041996002
1673085420,142,4.707076073,1.7462852
1673085421,143,4.692752361,1.979149461
1673085421,144,4.774981976,2.036089897
1673085422,145,4.338964462,1.787839651
1673085423,146,4.497407913,1.657626271
1673085423,147,4.635470867,1.575237393
1673085424,148,4.359149456,1.871185899
1673085425,149,3.748231173,1.753777146
1673085425,150,3.845043421,1.402762532
1673085426,151,4.2628479,1.845145941
1673085427,152,4.240081787,1.774884462
1673085427,153,4.134339809,1.726722598
1673085428,154,4.36156559,1.558723092
1673085429,155,4.124762058,1.59517324
1673085429,156,3.848459721,2.108346701
1673085430,157,4.086651325,1.494023561
1673085431,158,3.795042276,1.818049192
1673085431,159,3.943073034,2.272316456
1673085432,160,4.026813984,2.132758379
1673085433,161,3.944578171,1.805865049
1673085433,162,3.72339797,1.505358458
1673085434,163,3.983042002,1.70674777
1673085435,164,3.870444298,1.599480629
1673085435,165,3.650910854,2.159026384
1673085436,166,3.584524393,1.423102379
1673085437,167,3.854545355,1.973947525
1673085437,168,3.867037773,2.113000393
1673085438,169,3.927078962,1.488324165
1673085439,170,3.786547422,1.34418118
1673085439,171,3.753583431,1.657874107
1673085440,172,3.639138222,1.681702375
1673085441,173,3.736322165,1.800518751
1673085441,174,3.659339905,1.472977877
1673085442,175,3.7701087,1.892327666
1673085443,176,3.402304411,2.115525007
1673085443,177,3.473174572,1.402191401
1673085444,178,3.38992691,2.13286829
